,Q1,Q3,Q4,message,length,message_2,colour_green,colour_blue
175,Green,39,"T,k%'7qXiSRxC!*`J{6tNdO|_G2@l,hck?&\G0Yw#\OE 3V~<G*f*:9jj%2nC}Tf=WZu)ASf5tvo8s`",2,79,1,1,0
176,Green,21,]d:ALR\5oqbR*Zu>U/=PI6 e]=07p*JEa*NmAwsqvshD&e,2,46,1,1,0
177,Red,93,!,2,1,1,0,0
178,Blue,25,\bUIiGuU|NkyQoHJO7z;Byx|kF0I\mG`BoUd8Tw)]h|.'=3(TOYJK0\n>u:}YT%sJyV]dCe9?/tq}U,2,78,1,0,1
179,Red,106,F&kM#Lw$l -,2,11,1,0,0
180,Green,68,"""gh@3F]!3PeJQ@R%~@u3]q&]0_kP5gK@lg6qMXrZ+e+<u%gS2\l17&$>3hJ?""NJ,UXmBP(3$iNK<GRfE",1,80,0,1,0
181,Red,39,"0komc83].uJ2:YU*h~x_0@,2>7'36nSe't#m{YHrX4.U#S;<Z<gI<t2op@jarJEsp",1,65,0,0,0
182,Blue,14,"proQ75rd}OESP=z`}w6,]$G~b,1{:wr \,orwcDYN4KHB3d@n#Vl'k0O'Cc0N6^;2nMAoji!]D#t#zYd)be#GGQju""KaQ(m]",2,96,1,0,1
183,Green,25,{4N0^}uv^Rk$'{=VnJ-S{=Ksa: O$(i:yC7SyBKMHHWpv'9I}jo%J+JS9]1c),1,61,0,1,0
184,Green,56,"U-2mAs.R]UK;=;X8a8xDKjd[Nt/!&;7zu!Ax;lL^Ef,-IB)|?'W)C;Z2\jrB,1IN-f@@fZhpr-hy,h>GZY?SA",2,85,1,1,0
185,Blue,16,"]O""}-=Frygf$q'&LK_(y[D*oJ*!BupvFY4/g]Q4hWsL_r&4>kgrr7hh)ob36'wznkqoU=z4A(ro99E,8d?^3LvM)fj#E",2,92,1,0,1
186,Blue,-1,"&[f@bM[Ps>$We\4""iPtr1:9~(""Z)-bp:*T)WFGmivh|40LJ%[yUm%Y:1 //UKOxyG6y(6CoP$""+j@9MU&8CRKdGCXxK?",2,92,1,0,1
187,Blue,11,"oQNh^}h-%#mbKoS)s*?a-HnR'3!z$i4X-pi$Vyp OTHyGIfe}op;CnL%InMj,>|#u""0$Vz?|l\8jNmt@g|<$x%/'TnN4l6Y+zhWqr^mM/KZOQ <2.u",2,114,1,0,1
188,Blue,23,"O#mKA%#Hg&Ka Qt{bz<:L{bvJ9,ml&'XA**B9y1XZPc`Bgh2!p[eRK(`u.x5?7kR^UU?|'{%:U=lW0(:N_X8[+Y",2,87,1,0,1
189,Green,32,"MBFg>e]/'=SUP`)s^_yfN\4ml~w|^h0aij;H}X3_0'{N^M-O3#S<(6iIQAzKE[TX=Ih0!bxJk@\/u""*E5`h6$1He/iUrpEMlDgFQmwseONjIb+AhEQ",2,114,1,1,0
190,Red,39,"5zu-kznnuqen}[>qTkh;U#R=Mn_8FqE>hmy!C7i8/Ff)F)LL)7PV}QZ{nJ-&x5Qc!)>OHt`wQiD""#X[qNZ7=9d=""$x*o*+pKe",1,97,0,0,0
191,Red,108,fT$kIj1#e2Y)]*VHov*C@p,2,22,1,0,0
192,Green,56,"&p^vL\[6'""8G>L|O.#cZ>_0K(xPEjwMigaGyW""93u,*+719ak8J{ez<2""[ ON-b;y!/h",1,68,0,1,0
193,Blue,9,"v]4~Y4pTF+ft6h\ZL(mNTH|wZ.V`VRLU%U(}S.{9F*z:J7nmP""hTBvP3W}6qI&=Isbu^7T#]bL}/-W@lu~_w[o#/qJ",2,90,1,0,1
194,Green,25,dioMP*!MokFU}ArB;N-o%\Lp\p`MUx)IQ5tSy6a<(|\=o&(b5_qaUfKWyq7VBri,1,63,0,1,0
195,Blue,22,SG^BonaRNxK%rmI69w9o~)=5xj 6%N[2tAacg7Gd1g#~5S%_#09Eg>>(uNp+TFHy{V~(X_y,1,71,0,0,1
196,Red,37,"rsjkU:T{aGv""dCXAzv=ZdZMGpEMG%hv+wJ&)pl0{sqJv]+X+nnG0<D|/%~.'cmi]H|F=9t3>uF6D$`w%b+#0V7",1,86,0,0,0
197,Red,15,ldmLPb.-!K2%fouwftym'}fhC C)w#-lHnM5|`b?>_8z 5T.Pq/2Ucy7de=:67M]Nc[G|be$&dn'_z7RqQJm1+A:}u^9,1,92,0,0,0
198,Blue,58,"x:(]`r2li>DB^!ZwRnSEqEx@,^5Q;\-no^CjDT-o|ur yy""EVfrmJh 48waEl(GDvw,BLsihPC7de",1,77,0,0,1
199,Red,96,EUr!1W[m(RtXdxw0(ZiLMY?3Y{Rjl_33n\,2,34,1,0,0
200,Blue,35,"@F[[d/)',ckN]~4aW:dz'$-?A{^H uso""=q{gc^GqU7K^07""==R/@bQ50cXRj0mos5/*9%}^}qN",2,75,1,0,1
201,Red,84,yR8^m=36{90Ks51'Za)i@tj/{=pFze( )5&r[ws;</iY!;|[zd.]?dS9A)dYaW][ud<M,1,68,0,0,0
202,Red,56,"P%^nR40qnjvRBTI)p@>EfWd$MhlD>=FwYG3|~a}O0[""JIJWT(S+",1,51,0,0,0
203,Green,96,uekUl\atkr%l}qKHGTwU=SjA*90l_l@&NHR|_7my'7Co>~<6S#70;_59{Ub<`KI[,1,64,0,1,0
204,Blue,7,"""2iQr98/8z""YY'4wt$-)KMb&HDyqDT&>|F-y?+\XZEhWD30nGSu,i`=t3*OvT""ibhJb_i]#X.>c|?j-5dC66n~wUO)GzQS%#.W",1,98,0,0,1
205,Green,63,)1U>FQ^<Wg<~!*3X*dTQOr0r~8QE(|e$y!7w\JKmXVzLw$g%[P/c]r-I6 Uwq:T6\l3hw{k]589r0.`,1,79,0,1,0
206,Green,41,<IeY+yb!5\\&:Mu@a#L0~/t$Fs`u,2,28,1,1,0
207,Blue,23,ZB#B0n`Jf0n.3mR'_8`o2|%!8W~)!D7}jCem_vRlxqW|[c}?.0c[fUwf<K7_5T[lC,1,65,0,0,1
208,Green,27,"y=bt+Zfu74>|Mkf SM[$7sI/tj""Bb&>U'95",2,35,1,1,0
209,Blue,-2,"r6kx>#30!ToOU$|mvq.f|TK$kvq%2>*J> pN%,C((god=H`37,X?Tp=Xn2IW1o\@z`|@3^=Z/K)Y8}VC?C[.LvX}lt%^#XMVIMpb",2,100,1,0,1
210,Green,30,T%Hn7/HS@<I+YK#wRp.l-ko?5p~LW3iTR:^)I<<0](g6:cq,2,47,1,1,0
211,Red,23,"'=""wUZ)""'c~7Eu&o6Um^Y6K8oELV)_;M2r%DGRYbj'fg!wsTy!u'<3?W|JT.Bim",1,63,0,0,0
212,Green,83,"zxx#ZG/XDa-8 o<'DifcXp'HzeK}!oJI%8bV<nM'(,o5?RB V)G$\=js!}>DU,%z'&e6Cx /w./",1,75,0,1,0
213,Red,63,"ug6BK}K*J""vf4+ja<4y=/51]`WITqz01"">kv{ONc",2,40,1,0,0
214,Blue,4,"k]IIG4B:]}8;w{&ih""r/?)\b9y(EjA6)6?^9J-'=:x?*alN%wqb,-Xz;qpy=""m@]0~*Z)JABeGW)s]4\EQkzR-f=[CK^K6Xu{",2,97,1,0,1
215,Blue,19,"vRFzA9E;q&D7obh9N4T+umN,Sf/ojZQ?!VF=|cb?Q>v8^Vb@TDz$Z:$8=BVSn{DaT*l>M(6NbQo6C",1,77,0,0,1
216,Green,51,mjw+oAiF;MY^=J:>jw= w032f0<B`4\^ZDzL)9OC;q7*N=crh\7/5-OD'O'j 1VU 1?E},1,69,0,1,0
217,Blue,67,"""jvIjK;yJ2u;mre[Lv2+]~P+Ld m[[ o(h(f.INp<s|Xm~Hu,|]k}3W JP^2(HPYyznY|`+PSB*&PmQ/",1,80,0,0,1
218,Blue,18,:$9 Mm^#`K}0gP%79}.2kA'Z#IYz`2-fWRJQz8f\&T<!fG p:~`!OQwezO:N:EsE2re!4hD$CjZ|n=9y)a.|%Ji7f,2,89,1,0,1
219,Red,100,"<^(u)KHC:R=}""LjZ$s){2+",2,22,1,0,0
220,Blue,6,"!N.(Ndiq4skI&eHZ{lYuU""A7|jV}7U0m]}pqNn`9sC!jj_<m6D-kozju(`r(A<P73rNU,-pEOD'rNab",2,79,1,0,1
221,Red,75,*y4z`055iu:,2,11,1,0,0
222,Red,65,"UKE{R}9;S""r 2iKv`[]Nj <)5S.mN!pbpL|+lt%S3HKXgC,4e]Rlx [{a*)u[NOr.uON[M:$Eu\vOh<(",1,80,0,0,0
223,Blue,49,"BCmL%d%&8!%X;MjQoh3<T7!3|d&cT'p5Md>~+O)P\eaTz;1tCC""}U;U",1,55,0,0,1
224,Blue,14,"R%:.K!4[0<e;\4[<19~M':3[PvkawmnyJ!2tJ&[_zk-S0vroW{x*abA^N44HwyY[Nw;b?5]%,_SPvrz]gjy!E!R[4s0b$\(tE|d~-rS",2,103,1,0,1
225,Green,36,"6x_S""7x|7TdHc\BR_""QnlaGAK<""Zh)BpQ5z0KkPD4E<?PXILyy.\hI",2,54,1,1,0
226,Red,19,"hU{`ayH/Q""*8b2MvwNzh385EG5lTbuj<09.u{R9Ii^8l|CQk:.iYjPG6e.&isD",1,62,0,0,0
227,Red,31,oEQ!@:hS<08NM@VEr~!;j!EiZ~ot4'A\(ZV0[}t^^6u<q&gQYaR5&q[Le`e)Pqp']F,1,66,0,0,0
228,Red,96,aFm]o^m^Fz,2,10,1,0,0
229,Red,55,"T]E#'Qhm+A{.#kkYXF12D]gX3NO9@N2I,x6uhV4g$+;q%cKe(-99`>s;$EMN5;8v4/_:sOfzqmpMmjs",1,79,0,0,0
230,Blue,23,l].-)x./~b(TD5Xy2+n|segYg4nn9VlT tJK.G$tYqjtHq(Z-XK3:za$Y?z#l=UPC'A|%Qy6,2,72,1,0,1
231,Red,86,z.ApsZ#&X6VC7nBV->aZCX8`L7,2,26,1,0,0
232,Red,66,"*5}9,8udLXJ\KZY+elk10@65(qV/Zy\g&@$0u>3L*=+#W][jnJ",1,50,0,0,0
233,Blue,17,"CKnzHWemyLFi9MkXx}G%{*r0G5aA.4a_%j""<*zfuS!*wn&{L?xu8IfG=R$t[L)/2_sYxE0~XeOP{.p)M[~sH+@O}",2,88,1,0,1
234,Blue,9,"rCo""XOs*#T^ <,w0sj`nk^#^I$@9;S9ohDsCf[dSff]'F$f_\Uxd9-d=k,71LMNc{:84J.Z.`;v39>Wn(DLVniU|T]",2,90,1,0,1
235,Red,72,CFa`\'Kqt/y#0NI-zM'&Zt+@auj<Fq*,2,31,1,0,0
236,Green,61,"%RFcTJV?+b`@aXxuq)>""4|bnwa9^ 5+.t*cgC\6+aKjvgv2AG+L^:dEi.3[uO[$xF+TQz/2z|wo$w",1,77,0,1,0
237,Green,19,"Tl-~z)=uXV2-l!u#J,4iLPOT)T{XTD2Tf6L|E?0>VO)t",2,44,1,1,0
238,Green,63,)n 9Eiaz&P&d59a'gP1BiWx@iiA=+7+}dA6?K>RAz4CjZ>oX&FV.p+gsz><,2,59,1,1,0
239,Green,74,"8'9=iNff:0+ihzB<.""H6AA&,[Bro^{@qZ^x;S;hZErg`631q+]'|&?v""#Nk='65i<<b(:+|",1,71,0,1,0
240,Green,53,"YaFp5Q aAqXmHg^&BZACy""BV",2,24,1,1,0
241,Green,48,"~3| ekc1U0C[Umd(h0%n)TySv4~k@24.QM5s: gmH>F*\!oSan,Smj_",2,55,1,1,0
242,Red,81,"AD-f7<O'<o8:FANiXX}VoJR|xx""!E7^O 2.PYE0Q",2,40,1,0,0
243,Green,71,"=VkYD*+&q0Qr%/=g+fCi$1il^Nk#|q+.[-kwd#gl[-\#3}6h1S""srMHT&Z6}..UA%(06_!or0ME+NSS",1,79,0,1,0
244,Green,58,L7Q8W*Q~WJ<5~@%r)2l\gWCL{it@wWm}Z2c}I;F;:3Ns\o,2,46,1,1,0
245,Red,79,"(f,nqU%[ k[&]l:xd<)Nx""}UX)J9zs<<@MrVMO}\bPl3vAZd",1,48,0,0,0
246,Red,36,"Va/7eUjzP!z<66V~h]Z.AhI7<OZu*d=f-3O9<~}EjK+bC\vEfE~h3IE""3L?c4h~e'ufWX",1,69,0,0,0
247,Green,61,ZIcx)XS:2!{F7N{RsD^5bPB0mR_$WgW$*QhPu\atp QHa(_V:8@Dm,1,53,0,1,0
248,Green,75,"W K4.#>/==kpT^{,_2Byo{:ZQ1$(i/-cei-U""646.rXx_V6APrz",2,51,1,1,0
249,Blue,72,10 mVC94%k$/wd4YMKB~MM[a(qvasRF:9?uWZ2Fy2#P)rSSi+QY]HRDCyY#Q8 |w;/0`)VERI'\SfmV,1,79,0,0,1
250,Green,78,1UzN]KaC3e;im7yL}:%KzT/Wj@i<I>I3 xm_35%I_E'k$8.96Q$T0 9;i%P^UP<3]M8PNMT5BI48cBOj/,1,81,0,1,0
251,Red,95,X,2,1,1,0,0
252,Green,38,"kF]4C~Fa&oJWc(wC{3g.VHI]nKakW]!TQU>QAE_y""\oz *fs@IsX/;c|gYbZP@@",1,63,0,1,0
253,Blue,21,"Qg>:%DKW6iYa*2C>N}T(Mm`g+j^|.+[~%X3_+|S/{AG*)$uhLxRr&Xfh|nDY2-D,FQgJ-7/10SJCcKm=pYqhZecB_F%p",2,92,1,0,1
254,Red,91,g[nhAOTxr&3i/'MbQkXG0SX:0,2,25,1,0,0
255,Blue,29,"+S[|2{&f: tk.[x.1IW`6R`WGdH I""JrQ0)fw^3kU1}a)+2Gm141~]OscQWW< ]$",1,64,0,0,1
256,Green,38,"Xy2?]}^Lm){|Gkts6%V8\H[|ot@AjJ'e5c""/2TkdPRtt4Vg@.|CycBa<.%6Kcx#,+f>=%27K!wn0t>fW8)A[]exY8\/c",1,92,0,1,0
257,Red,96,"lD,2Bs>WI ",2,10,1,0,0
258,Red,42,"-l?tkO|L~,\R:WZg2jf86@RKn`,~vHoyJ~B~,i$:?bpyu/\HHN(< A3yk{:x~i2]PRJZcu*2r",1,73,0,0,0
259,Green,63,\-~4.?cd(a`d3'\2 _-T'v\s{AfgcfF~Z3?:'@.+*jH=KD/-=5FH y-0#%RH7>;=jB'Xhl(]>WgU@,2,77,1,1,0
260,Green,64,",JniWHqTS;t_h5\`~Hv5'>T[D{bxkKoEO[WJIAof?cvv)xWe'>{.b,WsV}~(Y#AU.->pks~wv(9IXfb+",1,80,0,1,0
261,Green,60,"ge%wtl[b2zL0+uHsutFHXb2_#^AyM8Po6N=}%J[ED!L0""pb?TIvU,",1,53,0,1,0
262,Green,50,"dqg(Rkl2""W\~)1pxnIb18 :nmp`&5l-0v8.80;faol[=5axWB1v",2,51,1,1,0
263,Blue,5,"Rnw;8il*Z^L\/nRUS\daOv6X{<#}HI z""+AQxzm5ttq-r'aGOP8u>M;#{Xo1#lsv8t#`*o2p$M=m1j#",2,79,1,0,1
264,Blue,12,"nmCAZW:n]@SF;vkz*Y/Fd48pAwK0*AzL,xk)k|BjX<?$f6[$$IH~|Fa$G! yKzGIer87I`;zeon6nnf",2,79,1,0,1
265,Red,89,-:(Lfy%,2,7,1,0,0
266,Blue,29,"%ln\@Z7+<7I=,n)Co*)N<*r+%>]ubZvq).% BpM#YqPeGUIjrw7hoei}8`r{Rn,=IBq@{j}`_uQl!czSWiA@.3G_}aJ_",2,92,1,0,1
267,Blue,21,")>(h0OR#7:{@jx0*A.J4OCpXL'qiD6=DZJdO=qp'y|\{7A""<tzyzD'lYiSB+|*b@4tJ_].a=^F`w[emW",2,80,1,0,1
268,Blue,55,J{Zb;MbzN$bvxkHUld$A(Vt!#-FQY`uP!~5aHyT%vh27( btu1Y3XXf{DM tP-L;cx4$J0#KU1-VCL,1,78,0,0,1
269,Blue,17,"HkEH-Q/_WPm"";JCz]Nmb~r':QXsw 95.txO#c[5A;%^p)l%8&Cmy5L,4#)Z?\G<rp]!x)OqH^<k/3LWz@^_O/LP{LAK",2,91,1,0,1
270,Green,51,"|sM*Ekn!~mB7%Qw?lU&LnvC0y""&rS_i;08v\0(z-g+ClxgnO)$5u""p2F9lQ{\ %=xXl=F%(8Z",1,73,0,1,0
271,Blue,27,"%T-ObVRvCorJ_1m~6v?e'>=>8$Fyv(n>@7d+6(=dT^O3jk"":V^V;-<4""{bbLE>OO|""}aa_Wl|1njk)~J WTynTd",1,87,0,0,1
272,Green,56,"K-g""P2H>ApIqiK4l%vo0pE[OGvl6|wGl;;t&Wp0N4}omdKOBWTaq",1,52,0,1,0
273,Green,47,"6WOhg>vBF7K?03LAi9&W8fv]`p?,2lH#J3jyA=E.Hv6@%r6$]OtE",2,52,1,1,0
274,Blue,32,"H|*U=pcm@DuUr9R:nMea0. AJq8=bjeq},J02Rd5;#p{F3 PzN2 ",1,52,0,0,1
275,Green,56,"NBxP-Ih1)i.`Fc}2OhV{""X@<t?8kdX'o:%[N 2=<m;.g%%Ili_6%wI[g$#_O[y9kxpUj",2,68,1,1,0
276,Red,90,Mxm|?&%E,2,8,1,0,0
277,Red,101,?3dyO,2,5,1,0,0
278,Red,42,"eW5d(JSfz@537drxty`]*1IDVLd;>V[*dhz#eW?R<7XtP""V#m@gFdw*uS,cy0",1,61,0,0,0
279,Blue,20,?4M_&}Q'4cN>0PyxsHQIyXg#83*Gm>9n!ZedH*t*0iDdC3?9V+YEEOvf#{GOgD6d*t|TL]x&,1,72,0,0,1
280,Red,25,"T<0p.H?OVE$Tp=Usc)89(.gXRHL>r&""vw733y@wgtY@ZpL9_oz b+P)\w",1,57,0,0,0
281,Green,57,"5a#0\![?_>Hsj7)yL<a.i< ;~r\vNg0yu-""GStfqeH(2m(L{H+elYQ?$X:3/|W&%",1,64,0,1,0
282,Red,76,"k6{Ny:2E""isQWC|>sd<=Ap&EQ4VTL@@HVJXS]td""&x~vCLt*gXtf~m!ZF[-KbNl2ZrX4c>%n^R",1,74,0,0,0
283,Blue,72,"3AuQs]Y0GLP]Jto+CmF=]qy5;*~t0,^-Cz_j% A n%`:L0/W^OAN.=(0fD<@.u{",1,63,0,0,1
284,Green,46,"s$TyUpRdX_75H6!,NwNE8 bx(",2,25,1,1,0
285,Blue,3,"z^^!!aeh'""2+.~O'?`<g7*\j""GB4X{):=K2(|nB%-WHTp\'ShN+^MQcU2`}t:~2@D[wqt:~A#G@vw<g,M3hm(*",1,86,0,0,1
286,Red,98,"W RH/1""",2,7,1,0,0
287,Green,41,"t|GJA0DE'&ZJ.)yBmd=]@R#oFQ`]B%uAa+XuIwzm6)B%VEHFofxKUN,#9Y'""Ey""YK_X+QHHzovPb",2,76,1,1,0
288,Green,46,"X;&~zDdR""5}d%2E,""Y&X*zg+%|y&k]@",2,31,1,1,0
289,Green,56,]f;3`b ae^T].H=3G0jrZeovh-JlzMVu:?+%wK[\CpUeaZhGDmU{#%/'Pg+:>S,1,62,0,1,0
290,Blue,74,"T,,e<~e~|#"">g{6Lqw'z|fB<ta}?(zpe~1H",1,35,0,0,1
291,Red,23,"^}~dMC[^z;k-%#?QT=9/nOd}HvaFE""oWaJ+vvYe4|%cat,f}zU=6vFyy{klHWIgNh@Zj&ho~[~f/~H@YF7="",Mjx~?Bb/K",1,94,0,0,0
292,Red,52,"vMw 2A>77l;>DA{X\Iq?%@;&W =<e|9/U^7ZV!Tb!Ewou#ub)+w&MfX*-Bh\^fv2S %Jxle9iYN@NwPQ}it8X#\(m{p`vr#@^ WsZPgN $SR(?R,)",1,113,0,0,0
293,Blue,44,M3C`:jLygF ;wd6q)~%>0|>An|n!/&Jp>OR3tsKby(Rv>A2!9cf$]5Z<<c|xO:#i *Q6%Z~O./MDJ:t59-BWjExx<1zCj?DJaV,2,98,1,0,1
294,Blue,15,"4?QahDz[(Yr+ 1 f0-s(E|(v`x#wtb?9@VAD8Q;$#P`*4lfENRtjFou@A4':e/jI33ZJ_;OH""+!FpsQD`e_5{m+;{UqobK[yY9v*+",2,101,1,0,1
295,Red,71,:q{sbprqH}f#Svf#lD=r/4)JRCE#3u 5p@4fLdG9F!w*D7Zvg2.>b's+h,1,57,0,0,0
296,Green,45,"BQP'M2J-nTbM|/e*Q#GG;@ADD^W: oQX-o<L,Uu38(9.r7|",2,47,1,1,0
297,Red,99,H/~2FP_y'(}!S:#QoM%kQ<tN ^v>:!.=#UunMRTJquJ2l},2,46,1,0,0
298,Blue,37,"?.&-q zHU!B)'4y+ZA2J/J`6]>6QqF@<8-""7j:Q!QO.`~y>}+tx&c(s.Te/Xv K`x9+Kg^rej,M.>M'o5u?:wEC",2,87,1,0,1
299,Green,56,"(vX|7v5s,4DREv3,JN>C$M:ELW<Opv2fn]4Yhaoy;]#{(_ajqArI@wG?!$s^98K",2,63,1,1,0
300,Green,63,>LW)r75%Q\7fJ[Mt59e$Lj~!6$:oBk-46r^ov-/^ztx &uDtm/IcCt0}6gg|NjU3@`'<Vk/GId8>B,1,77,0,1,0
301,Green,30,",|aiqc\B>/_T*I%21",2,17,1,1,0
302,Green,62,"&XJ|sByoF4^#ka5D^dd=GO:N&KR^]501O&2\=7rL0%E@vBu%w5n` DhUJ-rr,o9'}IU@)",1,69,0,1,0
303,Red,97,kbW9VJ~fO3$WB<ys_:Q*+&'lz8],2,27,1,0,0
304,Green,65,"`)wy""[+ZnqUe`M1K9WcT! D[of_%({QJNfmc|tHUw=''N1q> cMWy)fro%T@{Z]!",1,64,0,1,0
305,Blue,60,"~/L*%bb\oJW.^$<&wx.6R'<zh,TDs336(.mPp4q~#y ^vz%}}f{wa'R",1,55,0,0,1
306,Green,79,"uU-}(X4{zgruqK <u%)2`_?5/{6wiuF^ioeD]g1Mh5JwDX-,@-|YX<^g}",1,57,0,1,0
307,Green,80,d]`eAkdRbfIuE0;x'zjX# \ZM'e+}Cqh2qZsM4dFy*%Kj:dIxY0U]J'5|aV DeiI~/;erm$UPR9V<)?,1,79,0,1,0
308,Blue,23,"*pI;,f!$ARi\b.B<^yGQtC;_""""PIjEUNU3rG_( y2q&+o:t#x""QFS$$&i5>NdH.h/K0Ar\w3KL;Aq}zH! $x`",1,85,0,0,1
309,Blue,32,"c!Fjj\K@a8ghwnT*d2AN[Z*3V(a((FVT$DLq).e+03""WCI""ArnCcJ`2W2X|{(fn)Em}]o28gEb'\v1HVRJ}F/bX_yA",1,90,0,0,1
310,Green,67,"xlC}KWAT""r O4yFDn`)|>>l20)TQU_7!ZQ,8'cv|:(@3wb/2pL@I!{TNW4olz/(4$lD",1,67,0,1,0
311,Red,87,"yKiL+F/XYXh""ZL1:c614.F$S",2,24,1,0,0
312,Green,56,"]t""0nkRi_NZwkM8Wt0I.n|4~`5{!;Z~8>Zm%zrAkQ7""9U:>AYz""0U}J%_N\R0e",1,62,0,1,0
313,Green,16,}(_!KEP^+ )kN:DrtBi|25sFAE<,2,27,1,1,0
314,Green,55,`bnkZ#+<Hq2aEvrrc50Zhl:BF=~q)4vUoF4V,2,36,1,1,0
315,Green,73,"I '=;|0K3+bi/\h[?d,NE}f.!S;3Bz""KaVzV*9y'FM[d7mOqI P8BJ",1,54,0,1,0
316,Blue,61,"sXs(lj`Hlstytx`WF}xd4_l,-]_gkYXvbsQY_=%n+J54i{cF_}vG~Q",1,54,0,0,1
317,Green,30,"jAuz$AU5j0>""cUN{b6DBmtdz{K,1'XZJ$ H",2,35,1,1,0
318,Green,41,"w(')0NbAYW4HU=|KGB66a>91XGLak""*T)?>xUkQjL.JHx^hLq.qGv(i>;[C+""&9@oV?",1,67,0,1,0
319,Blue,-4,[eaa2p~1B-$X'mX7CY{R~5KYOJw+>+csNsjr7xO#%nzy'LwA(W`dK@*Cg^htW$fqqX|1a~%O[L;AKNn$gK.XZ$w-/3tl`,2,93,1,0,1
320,Green,49,"odAJ,I]oSv.y8#x&:Q3""l7`+=5p}%N1%(j_dhKihggdV;)M5S#GtK|qWe Vb;Xi",2,63,1,1,0
321,Blue,68,"')TYS|u80RV<yf-@/2p1Lq]=WT>Pq8gd$""&2CR:eO(*H(4!(:.Ar""gw7!.@5AQY",1,63,0,0,1
322,Red,84,QbliM;TNFw-(agL-rC;[]!{pEk`e[ tc,2,32,1,0,0
323,Green,72,"UL6Z{p6UmWr|iva|!;r?o8B5SQ3w{>dC<EE4tE,WPsV)V`8DE68uY",2,53,1,1,0
324,Red,81,<,2,1,1,0,0
325,Green,46,wYX2I!v.O\hd,2,12,1,1,0
326,Green,50,"apI*] `Q d;)x:Y{[~SOFkxA(XE=nn>RG`,n@:Sr6N_;e(4SsN",2,50,1,1,0
327,Blue,27,"_4O/yKn|Ol[::(LluUXvIY""guGUYRRis]VN~=Zj:8(CUkHNS_nu#}(G_r}nm;yqVpJc7<Lkr5,ry12*",2,79,1,0,1
328,Blue,64,"6qi55e@ch7{;!NYow8]!8En{*&8_u gdY*-V!{QE!Z_K9Q)3j2hz,5I7I(ZnGXG{W#-]h?:!JbnyFH4\(Y,poJkH",1,88,0,0,1
329,Green,68,"}5w,qY8wX/ 7(yCO4LPUfBbzoQF_szp3'\{pHI,oWz%z^k?V9>,oPK]C@\Xt+6rlJ3>",1,67,0,1,0
330,Blue,69,%) SE&BaP+nhI*G^MsSJ?:(5/8r;h8on(<Rwb^93^HDj;0LSa}F`;t{m9X:LxXETc'e=&+.V!BO^/|0}qg@y;U',1,87,0,0,1
331,Red,99,1v.=~E,2,6,1,0,0
332,Blue,19,"fYzYHA;""F]}!y^$KtVr[r4-fGi[eNv>`*=8?y=)O41#@EmylT;O=}hF825A#*g(qC_}\SaB!FH<r\",1,77,0,0,1
333,Green,28,"F4HAk^7|""bKiAC27m W[>mz<LSh{.$wdmq%P PK,+crvH@s>",2,48,1,1,0
334,Green,30,"bZ{O8uRAW6qqvVM@8lx8oUmcl6'i?_7I`4rByqB+B$e,q$7lxu/_F}^8dxmkI>b|A~(X",2,68,1,1,0
335,Blue,86,"[*i$; 0L1(7$#Z0i@""6Zn<OjY`]qE9vZPS ,8X=b>TJ|Wtv#_~vs2;t""JJn06=*O7yx5<Qu~RLK",1,75,0,0,1
336,Red,62,"UvVn36cp]myt~;zORuBw?' 2[""On.qY-{#SmzvG_f?{x!1F3#RMb[|}LV##nYWUy`Y@v/i;>(QaoVNmPp[@_",1,84,0,0,0
337,Red,43,"I jz.M\OKzYSn8S#W-pL3R?NTk^CVovVbrTM4NhCz%?;4U7KJbS9OMd~%b\XK!rPk-*f1bX,lUR4y W>nU:",1,83,0,0,0
338,Green,40,")3$a^>.N+09s`itjM[.""J*3i4~f; 3OJvUg1^dYg;9R\WabX/4#egmD"" ;^FTHSq",2,64,1,1,0
339,Blue,41,MLd!*Tc85>!0nR|DDaVwKw5\&!hn'[|!X:hQ];2:.Wn2<bc|mE@6>^|@I`[,1,59,0,0,1
340,Green,32,"uFe?X;]3sZmtM>56gThCc8<u>,*aM62X_nK&+@5o' $`7] ^C4J+iX*O:04+4BOmgbt1|0fdmJ8",2,75,1,1,0
341,Blue,16,"Z9KZ7](kt)mWU@V|2/hh^[tURk~h%o;~N?^*z qbKbPsonj,(s5{:mCN8h8pk)*4)XH;sCROO;e=.7%{nPkJCxRnKX`'v'em",2,96,1,0,1
342,Red,85,q-/1ff,2,6,1,0,0
343,Blue,18,"AQ""6hmmZ""lq9 ${j8tA WjC~f@""]f]UWg~<<hOiUL~Y]yFv(>*Ep.7=>JgL/[5Y0R*4k.G""[w&ts5`\[ /'B1n(caw`J+v%[Nq3t>$p",2,103,1,0,1
344,Blue,72,"v ^ P!A2D=|Ms$u>f0HaWXZ#T'rUSK>m@,):t?jDFeLc9f|]ZoIaG>^K.adVxhQeBqxw?n,8Q",1,73,0,0,1
345,Blue,67,"8!@H2]wlKEV>x3:BjfS.CBf,{b=ne~8,sf+S}{=2J|nrR:CiWA0~",1,52,0,0,1
346,Green,44,"dZ$P""m""aITh",2,11,1,1,0
347,Red,22,"z4Z+`n4\B4L5.P:IW4yg(CR[!UBiy>;ed""*Z3StRzDrP_#-.bqn_=@_OgITZLZ[.0=2Cv(",1,70,0,0,0
